Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_READ,PT,44.9
2018,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_MATH,PT,74.6
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_MATH,PT,82.4
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_MATH,PT,79.5
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_MATH,PT,80.7
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_MATH,PT,83.28
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_MATH,PT,87.7
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_MATH,PT,87.2
2018,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_READ,PT,89.3
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_READ,PT,85.0
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_READ,PT,88.9
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_READ,PT,88.7
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_READ,PT,90.64
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_READ,PT,89.6
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_P7,SKILL_READ,PT,93.2
2006,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,69.9
2012,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,70.4
2013,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,62.5
2014,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,63.9
2015,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,77.3
2016,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,56.7
2017,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,58.6
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,57.8
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,64.3
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,61.6
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,69.5
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,98.0
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_MATH,PT,97.3
2006,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,81.6
2012,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,72.7
2013,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,76.0
2014,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,76.7
2015,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,83.3
2016,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,75.1
2017,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,75.1
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,78.4
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,79.3
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,86.1
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,88.6
