Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,108.2
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,144.8
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,107.9
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,106.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,93.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,92.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,97.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,107.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,100.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_JLOS,PT,,102.0
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,96.2
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,59.6
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,79.6
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,96.4
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,101.2
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,157.9
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,152.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,83.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,115.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,111.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,41.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,109.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,PT,,121.0
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,99.0
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,97.2
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,156.5
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,98.4
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,99.5
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,96.1
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,112.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,108.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,115.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,114.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,92.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,87.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,98.0
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,99.0
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,96.0
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_LEGISLATURE,PT,,99.4
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_MANUFACTURING,PT,,255.8
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_MANUFACTURING,PT,,142.9
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_MANUFACTURING,PT,,168.3
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_MINERAL_DEVELOPMENT,PT,,63.4
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_MINERAL_DEVELOPMENT,PT,,60.6
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_MINERAL_DEVELOPMENT,PT,,92.3
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_NECCLAWM,PT,,84.4
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_NECCLAWM,PT,,106.4
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_NECCLAWM,PT,,102.3
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PRIVATESECTORDEVELOPMENT,PT,,98.1
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PRIVATESECTORDEVELOPMENT,PT,,99.4
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PRIVATESECTORDEVELOPMENT,PT,,99.6
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,159.4
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,164.8
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,145.2
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,154.4
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,90.3
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,84.0
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,119.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,105.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,120.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,132.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,117.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,141.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_ADMINISTRATION,PT,,124.6
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,130.4
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,106.1
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,94.3
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,89.7
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,103.8
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,96.1
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,123.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,90.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,86.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,84.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,76.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,72.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,,122.4
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_TRANSFORMATION,PT,,93.8
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_TRANSFORMATION,PT,,99.4
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_PUBLIC_SECTOR_TRANSFORMATION,PT,,102.0
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_REGIONAL_BALANCED_DEVELOPMENT,PT,,97.9
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_REGIONAL_BALANCED_DEVELOPMENT,PT,,99.5
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_REGIONAL_BALANCED_DEVELOPMENT,PT,,106.7
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,114.8
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,380.6
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,117.5
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,107.0
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,97.4
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,118.8
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,101.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,96.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,120.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,114.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,120.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,126.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SECURITY,PT,,120.6
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SOCIAL_DEVELOPMENT,PT,,105.3
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SOCIAL_DEVELOPMENT,PT,,81.5
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_SOCIAL_DEVELOPMENT,PT,,68.5
